"diff"	"undiff"	"both"	"diffOnly"	"undiffOnly"	"both75pc"	"both90pc"
"BASP1"	1	1	1	0	0	1	1
"BZW2"	1	1	1	0	0	1	1
"CDK5R1"	1	1	1	0	0	1	1
"CDKN1C"	0	0	0	1	0	0	0
"CEP170"	1	1	1	0	0	1	1
"CNIH2"	0	0	0	0	0	1	0
"CRMP1"	0	1	1	1	1	0	0
"CSNK1E"	0	1	1	1	1	1	1
"DBN1"	0	1	1	1	1	1	1
"DCX"	1	1	1	0	0	1	1
"DPYSL5"	0	0	0	1	1	1	1
"ELAVL3"	0	1	1	1	1	0	0
"ENC1"	1	1	1	0	0	1	1
"FNBP1L"	0	0	0	0	0	0	1
"GAP43"	1	1	1	0	0	1	1
"GNG2"	1	1	1	0	0	1	1
"GNG3"	0	1	1	1	1	1	1
"GPC2"	0	1	1	1	1	1	1
"GPM6A"	1	1	1	0	0	1	1
"GPM6B"	1	1	1	0	0	1	1
"H2AFY2"	0	1	1	1	1	1	1
"ID4"	1	1	1	0	0	1	1
"IDH1"	1	1	1	0	0	1	1
"IGFBPL1"	0	1	1	1	1	0	0
"INA"	0	1	1	1	1	1	1
"KIF5C"	0	1	1	1	1	1	0
"LHX2"	0	1	1	1	1	1	0
"MAPT"	1	1	1	0	0	1	1
"MLLT11"	0	0	0	0	0	1	1
"NDN"	1	1	1	0	0	1	1
"NEUROD6"	1	1	1	0	0	1	1
"NNAT"	1	1	1	0	0	1	1
"NR2F1"	0	0	0	0	0	1	0
"NSG1"	1	1	1	0	0	1	1
"NSG2"	1	1	1	0	0	1	1
"PCBP4"	0	0	0	1	0	0	0
"PFN2"	1	1	1	0	0	1	1
"PKIA"	1	1	1	0	0	1	1
"RND3"	1	1	1	0	0	1	1
"RTN1"	1	1	1	0	0	1	1
"RUFY3"	1	0	0	1	0	1	1
"SBK1"	1	1	1	0	0	1	1
"SEPT3"	1	1	1	0	0	1	1
"SOX11"	1	1	1	0	0	1	1
"SOX2"	0	0	0	0	0	1	1
"SOX4"	1	1	1	0	0	1	1
"STMN1"	1	1	1	0	0	1	1
"STMN2"	0	1	1	1	1	1	1
"STMN4"	1	0	0	1	0	1	1
"SYT11"	1	1	1	0	0	1	1
"TAGLN3"	1	0	0	1	0	1	1
"TMEFF1"	1	1	1	0	0	1	1
"TUBA1A"	0	0	0	0	0	1	0
"TUBB2A"	0	0	0	0	0	1	1
"TUBB2B"	0	0	0	0	0	1	1
